issue_ID,issue_title,remediation,assigned_person,severity,category,system,owner_team,status,created_date,last_updated,summary,tags
ISS-00016,High CPU on Azure-Storage-28 causing order processing delays,"Validate scope: reproduce the issue described as 'High CPU on Azure-Storage-28 causing order processing delays'. Gather diagnostics (logs, event traces, NetMon/PCAP) on DLP-Policy-20 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Yash Agarwal,Low,Security - DLP,DLP-Policy-20,OT/Plant IT,In Progress,2024-09-07 05:53:22,2024-09-23 21:53:22,High CPU on Azure-Storage-28 causing order processing delays. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,latency,permissions,auth"
ISS-00017,SharePoint permissions drift on Mendix-OrderApp leads to DNS failures,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on Mendix-OrderApp leads to DNS failures'. Gather diagnostics (logs, event traces, NetMon/PCAP) on SharePoint-Site-9 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ishita Nair,Low,Printer/Peripheral,SharePoint-Site-9,Oracle ERP,Known Issue,2024-12-17 06:01:22,2024-12-19 01:01:22,SharePoint permissions drift on Mendix-OrderApp leads to DNS failures. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"printer/peripheral,firmware,cache,permissions"
ISS-00018,VPN split-tunnel issue for Outlook at Jamshedpur Plant,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Outlook at Jamshedpur Plant'. Gather diagnostics (logs, event traces, NetMon/PCAP) on ADFS-Cluster-27 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Correct permissions/connectors; reindex search; clear client cache and reauthenticate. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Arjun Chatterjee,Low,SharePoint/OneDrive,ADFS-Cluster-27,Oracle ERP,Resolved,2025-04-03 22:22:22,2025-04-28 00:22:22,VPN split-tunnel issue for Outlook at Jamshedpur Plant. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"sharepoint/onedrive,qos,cache,auth"
ISS-00019,Login failures for Oracle AP due to stale device record,"Validate scope: reproduce the issue described as 'Login failures for Oracle AP due to stale device record'. Gather diagnostics (logs, event traces, NetMon/PCAP) on OneDrive-User-65 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Kabir Iyer,Medium,Endpoint,OneDrive-User-65,Data Platform,In Progress,2025-05-18 09:42:22,2025-06-07 05:42:22,Login failures for Oracle AP due to stale device record. Likely cause: token cache corruption. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,latency,permissions,policy"
ISS-00020,High CPU on ADFS-Cluster-15 causing order processing delays,"Validate scope: reproduce the issue described as 'High CPU on ADFS-Cluster-15 causing order processing delays'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-FIN-AP and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Pooja Kulkarni,Medium,Data & Analytics,Oracle-FIN-AP,Cybersecurity,Resolved,2025-02-03 18:06:22,2025-02-24 02:06:22,High CPU on ADFS-Cluster-15 causing order processing delays. Likely cause: token cache corruption. Verified with logs; resolved via targeted configuration correction and validation tests.,"data-&-analytics,qos,policy,latency"
ISS-00021,Login failures for SAP GUI due to expired certificate,"Validate scope: reproduce the issue described as 'Login failures for SAP GUI due to expired certificate'. Gather diagnostics (logs, event traces, NetMon/PCAP) on MDM-Intune-107 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Neel Gupta,High,Endpoint,MDM-Intune-107,Cybersecurity,In Progress,2025-03-27 05:08:22,2025-04-09 22:08:22,Login failures for SAP GUI due to expired certificate. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,auth,driver,cert"
ISS-00022,Login failures for Oracle AP due to driver regression after patch,"Validate scope: reproduce the issue described as 'Login failures for Oracle AP due to driver regression after patch'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Core-Router-107 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Coordinate maintenance window; apply vendor firmware; validate PLC/SCADA comms with loopback tests. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vivaan Kulkarni,Medium,Manufacturing OT,Core-Router-107,Network Ops,Known Issue,2024-09-01 22:36:22,2024-09-23 05:36:22,Login failures for Oracle AP due to driver regression after patch. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"manufacturing-ot,patch,permissions,firmware"
ISS-00023,High CPU on SharePoint-Site-103 causing report refresh failures,"Validate scope: reproduce the issue described as 'High CPU on SharePoint-Site-103 causing report refresh failures'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-SCM-INV and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ananya Joshi,Low,VPN,Oracle-SCM-INV,Oracle ERP,Resolved,2025-01-30 01:14:22,2025-02-21 00:14:22,High CPU on SharePoint-Site-103 causing report refresh failures. Likely cause: outdated agent version. Verified with logs; resolved via targeted configuration correction and validation tests.,"vpn,policy,cert,auth"
ISS-00024,Email delays to @vendor.com after change on OneDrive-User-105,"Validate scope: reproduce the issue described as 'Email delays to @vendor.com after change on OneDrive-User-105'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Core-Router-110 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Aditya Singh,Medium,Mendix App,Core-Router-110,Mendix Dev,Resolved,2024-12-06 18:24:22,2024-12-28 00:24:22,Email delays to @vendor.com after change on OneDrive-User-105. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"mendix-app,patch,policy,auth"
ISS-00025,VPN split-tunnel issue for Power BI at Bengaluru Lab,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Power BI at Bengaluru Lab'. Gather diagnostics (logs, event traces, NetMon/PCAP) on ADFS-Cluster-45 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Re-run patch 5000055 with prerequisite servicing stack; rollback driver if regression. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Pooja Kulkarni,Critical,Patch Mgmt,ADFS-Cluster-45,Mendix Dev,In Progress,2024-12-23 17:00:22,2025-01-23 01:00:22,VPN split-tunnel issue for Power BI at Bengaluru Lab. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"patch-mgmt,cache,firmware,patch"
ISS-00026,SharePoint permissions drift on Oracle-FIN-AP leads to authentication loop,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on Oracle-FIN-AP leads to authentication loop'. Gather diagnostics (logs, event traces, NetMon/PCAP) on PLC-Cell-56 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Yash Agarwal,Medium,Security - EDR,PLC-Cell-56,Data Platform,Resolved,2024-08-13 04:22:22,2024-09-07 21:22:22,SharePoint permissions drift on Oracle-FIN-AP leads to authentication loop. Likely cause: outdated agent version. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---edr,patch,firmware,auth"
ISS-00027,Login failures for Mendix OrderApp due to DNS misconfiguration,"Validate scope: reproduce the issue described as 'Login failures for Mendix OrderApp due to DNS misconfiguration'. Gather diagnostics (logs, event traces, NetMon/PCAP) on PLC-Cell-80 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vikram Patil,High,Security - DLP,PLC-Cell-80,Cloud Platform,In Progress,2025-08-03 20:58:22,2025-08-08 02:58:22,Login failures for Mendix OrderApp due to DNS misconfiguration. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,driver,firmware,cert"
ISS-00028,SharePoint permissions drift on Edge-Switch-39 leads to packet loss,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on Edge-Switch-39 leads to packet loss'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Azure-Storage-52 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Rohan Mehta,High,VPN,Azure-Storage-52,Oracle ERP,Resolved,2025-01-24 01:51:22,2025-02-07 22:51:22,SharePoint permissions drift on Edge-Switch-39 leads to packet loss. Likely cause: outdated agent version. Verified with logs; resolved via targeted configuration correction and validation tests.,"vpn,permissions,qos,cert"
ISS-00029,Login failures for Outlook due to misconfigured firewall rule,"Validate scope: reproduce the issue described as 'Login failures for Outlook due to misconfigured firewall rule'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Mendix-OrderApp and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ishita Nair,Medium,Security - DLP,Mendix-OrderApp,Cloud Platform,In Progress,2024-08-24 12:38:22,2024-09-09 07:38:22,Login failures for Outlook due to misconfigured firewall rule. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,qos,firmware,dns"
ISS-00030,Email delays to @vendor.com after change on Oracle-SCM-INV,"Validate scope: reproduce the issue described as 'Email delays to @vendor.com after change on Oracle-SCM-INV'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-64 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Aarav Sharma,High,Security - EDR,Email-Exchange-64,Endpoint Engineering,In Progress,2025-08-04 03:52:22,2025-08-05 20:52:22,Email delays to @vendor.com after change on Oracle-SCM-INV. Likely cause: outdated agent version. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---edr,auth,qos,cert"
ISS-00031,SharePoint permissions drift on PLC-Cell-97 leads to corrupted profile,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on PLC-Cell-97 leads to corrupted profile'. Gather diagnostics (logs, event traces, NetMon/PCAP) on EDR-Defender-86 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Re-run patch 5000132 with prerequisite servicing stack; rollback driver if regression. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Nisha Menon,Medium,Patch Mgmt,EDR-Defender-86,OT/Plant IT,Known Issue,2025-03-28 17:10:22,2025-04-25 08:10:22,SharePoint permissions drift on PLC-Cell-97 leads to corrupted profile. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"patch-mgmt,dns,policy,permissions"
ISS-00032,Email delays to @vendor.com after change on Azure-Storage-31,"Validate scope: reproduce the issue described as 'Email delays to @vendor.com after change on Azure-Storage-31'. Gather diagnostics (logs, event traces, NetMon/PCAP) on VPN-Gateway-36 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Arjun Chatterjee,Medium,Oracle ERP,VPN-Gateway-36,Mendix Dev,Resolved,2024-10-21 15:37:22,2024-11-03 13:37:22,Email delays to @vendor.com after change on Azure-Storage-31. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"oracle-erp,dns,auth,firmware"
ISS-00033,Email delays to @customer.com after change on Core-Router-27,"Validate scope: reproduce the issue described as 'Email delays to @customer.com after change on Core-Router-27'. Gather diagnostics (logs, event traces, NetMon/PCAP) on PLC-Cell-70 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Sneha Bhat,Critical,Mendix App,PLC-Cell-70,Oracle ERP,Resolved,2025-08-03 12:17:22,2025-09-01 06:17:22,Email delays to @customer.com after change on Core-Router-27. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"mendix-app,qos,latency,patch"
ISS-00034,Email delays to @partner.org after change on VPN-Gateway-63,"Validate scope: reproduce the issue described as 'Email delays to @partner.org after change on VPN-Gateway-63'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-110 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ishita Nair,Medium,Cloud/Azure,Email-Exchange-110,Cloud Platform,Open,2025-02-01 09:06:22,2025-02-26 21:06:22,Email delays to @partner.org after change on VPN-Gateway-63. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"cloud/azure,qos,cert,permissions"
ISS-00035,SharePoint permissions drift on Edge-Switch-11 leads to DNS failures,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on Edge-Switch-11 leads to DNS failures'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-76 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Sneha Bhat,High,Network,Email-Exchange-76,Cybersecurity,In Progress,2024-12-23 23:43:22,2024-12-30 13:43:22,SharePoint permissions drift on Edge-Switch-11 leads to DNS failures. Likely cause: stale device record. Verified with logs; resolved via targeted configuration correction and validation tests.,"network,patch,firmware,policy"
ISS-00036,Users at Mumbai DC cannot connect to SAP GUI: expired cert,"Validate scope: reproduce the issue described as 'Users at Mumbai DC cannot connect to SAP GUI: expired cert'. Gather diagnostics (logs, event traces, NetMon/PCAP) on MDM-Intune-33 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Re-run patch 5000386 with prerequisite servicing stack; rollback driver if regression. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Pooja Kulkarni,Critical,Patch Mgmt,MDM-Intune-33,Network Ops,In Progress,2025-07-10 14:12:22,2025-08-10 10:12:22,Users at Mumbai DC cannot connect to SAP GUI: expired cert. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"patch-mgmt,latency,dns,cache"
ISS-00037,High CPU on VPN-Gateway-17 causing file sync backlog,"Validate scope: reproduce the issue described as 'High CPU on VPN-Gateway-17 causing file sync backlog'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Edge-Switch-80 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Meera Desai,Critical,Printer/Peripheral,Edge-Switch-80,Service Desk,Resolved,2024-12-21 22:33:22,2025-01-10 17:33:22,High CPU on VPN-Gateway-17 causing file sync backlog. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"printer/peripheral,cert,policy,auth"
